09/30/2016 15:41:27 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:41:28 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:41:28 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:26 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:27 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:28 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:28 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:29 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:29 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:29 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:31 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:31 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:31 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:32 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:32 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:33 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:34 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:34 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:35 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:36 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:36 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:36 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:37 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:37 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:38 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:39 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:39 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:39 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:41 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:41 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:41 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:43 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:43 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:43 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:44 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:44 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:45 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:46 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:46 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:46 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:48 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:48 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:48 PM -- WARNING : 404 - resource not found ; lcsh:Russia
09/30/2016 15:44:49 PM -- WARNING : 404 - resource not found ; lcsh:Red Scare
09/30/2016 15:44:49 PM -- WARNING : 404 - resource not found ; lcsh:McCarthy
09/30/2016 15:44:50 PM -- WARNING : 404 - resource not found ; lcsh:Russia
